epoch,train_loss,train_dice_loss,train_ce_loss,train_lov_loss,lr,valid_loss,valid_dice_NCR,valid_dice_Edema,valid_dice_ET,mean_dice,elapsed_sec
0,0.7315309384130232,0.4147021773676113,0.9723406525714167,0.468866762615736,1.4191418469892134e-05,0.7279614416917247,0.006724046526427186,0.01196925879642848,0.05598370419821526,0.024892336507023643,1264.8
1,0.6030202528409612,0.41360261202853693,0.6636403907416972,0.44701256125623345,2.0698975061371526e-05,0.6290010345360099,0.0026501132273938923,0.028082693112163982,0.10083490502536592,0.04385590378830793,1202.4
2,0.5073512715426901,0.4119663202627541,0.44177431739382494,0.41730868252806147,3.132460338959876e-05,0.5223373890062503,0.005876325246270647,0.071105553290531,0.15143549866905015,0.07613912573528393,1203.3
3,0.4422939000112551,0.4079640687720435,0.3019505587279281,0.38367610599581337,4.5744897924397665e-05,0.4713264834019599,0.02662033138577081,0.12016520763744842,0.1466535461791389,0.09781302840078604,1230.1
4,0.39732702480230353,0.3978786500316326,0.22034776737923484,0.3523035755022232,6.352095727986764e-05,0.4524328380381677,0.08997319381159614,0.21062945777165157,0.17410389539029494,0.15823551565784755,1235.0
5,0.36102036284043987,0.3843102093494997,0.16491036701777517,0.32235039309662333,8.411174277832151e-05,0.402921142970481,0.18321552583358386,0.2530883805375232,0.2746119198304689,0.236971942067192,1187.3
6,0.3354159728601714,0.37308302420409717,0.12999398944084187,0.2978427592958179,0.0001068905457023857,0.38702804908512645,0.381599098318342,0.3077081862518107,0.4107197175949268,0.3666756673883598,1176.8
7,0.3205852171072384,0.3635496884211228,0.11604002493333139,0.2801969183612223,0.0001311640620319237,0.40181681078717335,0.36095791973162394,0.24491712521473408,0.4636201717793583,0.35649840557523876,1199.8
8,0.31235105812257474,0.3559494838962684,0.11377643149080383,0.26635392466598873,0.00015619349410007758,0.3803812708161586,0.4074119603905947,0.35704604980711213,0.43579648225143136,0.40008483081637936,1207.9
9,0.2989033985809134,0.34401475424452344,0.10545849838875054,0.2515556858141657,0.00018121703691066572,0.3547024218328764,0.3925935183606664,0.36040422665633354,0.3745603937402707,0.3758527129190902,1026.3
10,0.29061854742820037,0.3352161927029855,0.10308719454640888,0.24126972137080138,0.00020547306471511523,0.3686819686554373,0.3456609121331043,0.3900022574736311,0.4338071276779637,0.38982343242823303,1002.2
11,0.28656985583677946,0.3275275770652559,0.10900546153640871,0.23225557752848824,0.00022822331213374707,0.35933624772430467,0.36231335338651693,0.3219911385694229,0.38838471691327386,0.3575630696230712,953.3
12,0.2725252149852642,0.31363125494639654,0.10060551444719572,0.2205212410185631,0.00024877534427228615,0.3404422810033987,0.48555402335763603,0.4284921297760954,0.4556418369215388,0.4565626633517567,984.9
13,0.2661056046112226,0.3033035129539726,0.10298437322605106,0.2146486933598574,0.0002665036319248685,0.3664207739594321,0.3507966603274374,0.3034408588366798,0.3172409201052143,0.32382614642311053,955.4
14,0.26170812084547945,0.29658022718409677,0.10424470131427091,0.21031047804372735,0.0002808685904109186,0.341294942543021,0.43155116280383243,0.34669870031210004,0.418949831334615,0.39906656481684916,1038.4
15,0.2545536890981447,0.2894823806372582,0.09955253785227902,0.20521618761680357,0.00029143300257285926,0.33028384705358277,0.34446691118756534,0.35598385352912604,0.42450658799260654,0.37498578423643264,957.5
16,0.25803998162802366,0.2919182410518116,0.10405861203511384,0.20632792007859474,0.00029787532607825664,0.3255169727472132,0.40276648653859926,0.3514488613411311,0.3963107174627777,0.3835086884475027,1031.9
17,0.2523880478709051,0.2854750106554338,0.10107551444383286,0.20336413829326103,0.00029999990068063604,0.3479468908765752,0.4280938565129956,0.372744233671729,0.4508569584393964,0.41723168287470697,955.7
18,0.24890247573681748,0.2804943252939087,0.10159591848259282,0.19983752665908797,0.000299567572734015,0.34291234529408765,0.4566657739759101,0.4368393189835376,0.4121698662825917,0.43522498641401314,954.7
19,0.24438047910830554,0.27692014415241384,0.09625633397061861,0.19862925503954143,0.0002982988056058715,0.31069772716213745,0.42395117130687454,0.3837597727411863,0.46208299227455457,0.4232646454408718,980.6
20,0.2409829357874111,0.27367590214961623,0.09387540335171043,0.19613612552265636,0.0002962006947566459,0.32719152760747605,0.49593220886779393,0.43325936731373904,0.5704279459631385,0.49987317404822385,953.9
21,0.24273403047634634,0.27441447132673036,0.09668527634669948,0.1970561460409489,0.0002932849736732798,0.33185353277445584,0.4989384612570545,0.48637744426327406,0.5926027183237198,0.5259728746146828,989.0
22,0.23489484697171334,0.26669744290655856,0.09122766244886711,0.19192654311718182,0.00028956794825079756,0.3243939829279009,0.4968792672628608,0.4727421285385873,0.568310508752936,0.5126439681847947,959.0
23,0.234579383282876,0.2662083662704264,0.09120295941020776,0.19186586129774696,0.0002850704056031271,0.3194518969643276,0.31912604681722745,0.3247148464309924,0.4388603287714786,0.3609004073398994,1034.8
24,0.23404359068662597,0.26445746333846454,0.09291477166497776,0.1910159808628975,0.0002798174978131269,0.3015859234121693,0.4567048174940149,0.4512911024285515,0.5041044133953341,0.4707001111059668,950.5
25,0.23080860625150573,0.2615700549111171,0.08996647466748287,0.18939987965623456,0.0002738386012719356,0.33630813825684314,0.49466024352728416,0.3467984990898073,0.48990930086253587,0.44378934782654245,953.0
26,0.2316955617202346,0.2628186279080351,0.08950168364761453,0.1910185203322627,0.0002671671523942771,0.28978089890325404,0.4807808698450744,0.47388377820955835,0.5066487901424966,0.4871044793990431,1071.2
27,0.22608335969083193,0.2567687388876044,0.08617616696925982,0.18775821127689304,0.00025984046062846604,0.3429756022328254,0.5671370933460628,0.49866224087521116,0.6295205121641341,0.5651066154618026,1293.2
28,0.2295970842950395,0.25867652096027566,0.09143205170230118,0.18909171757243634,0.0002518994998068388,0.3303278456282177,0.3359908347829824,0.43438459900770804,0.2949176153461213,0.3550976830456039,1253.4
29,0.22931640485305413,0.2599203487237295,0.08913993279276929,0.188541075082362,0.00024338867900346251,0.29986714724008817,0.45269727361438844,0.3981212406748837,0.4149509005949227,0.42192313829473155,1255.8
30,0.22500416846961305,0.25531857054220747,0.08637196773300466,0.18632115912863204,0.00023435559418057893,0.33767881968148616,0.432515782014643,0.33550001796657997,0.33735874471236016,0.36845818156452764,1259.7
31,0.2222847462885417,0.25282766602902307,0.08385641345741913,0.18522787020900217,0.00022485076201267683,0.29333626811832775,0.504502182862583,0.5208123493439666,0.5384546650301404,0.5212563990788966,1254.4
32,0.21967453904297152,0.2502137615557007,0.08182834073858136,0.18407469307183263,0.00021492733737675672,0.2973983378547103,0.5625244542780156,0.4580093945404279,0.4918642190128691,0.5041326892771042,1253.8
33,0.22197854743470033,0.2514555719222918,0.08549070575473151,0.18454457404368654,0.00020464081608869734,0.3049125572732995,0.49054453888924504,0.416317262762474,0.5625917336378858,0.4898178450965349,1298.9
34,0.21852784221000904,0.2488199738284698,0.08178379881387576,0.18261165535527196,0.00019404872454814167,0.29557547250509014,0.5734522083421817,0.5333015391656823,0.6055925189445049,0.5707820888174563,1253.8
35,0.21763415408602768,0.24750838190157215,0.0817662102009468,0.18211316805048525,0.00018321029802753551,0.2926711311992968,0.4849008461963889,0.45638187018235654,0.45848508872439914,0.46658926836771486,1255.2
36,0.21912722420366218,0.24936939628442703,0.08203915041865313,0.1834495950542179,0.00017218614940445583,0.31062524175814604,0.5439390820284355,0.5178064287366382,0.5685964328036841,0.5434473145229193,1297.2
37,0.22055511477509385,0.2501336161178283,0.08429658410079391,0.18378152061375272,0.00016103793018981257,0.3147556298726024,0.45559217346630787,0.39846192657766566,0.4070736808856837,0.4203759269765524,1254.8
38,0.21439522955875442,0.24524915428942123,0.07780977107115725,0.18060910772803143,0.00014982798574759125,0.2910357282664372,0.575967817655387,0.5281407811078327,0.5698916579571821,0.5580000855734673,1258.9
39,0.21307843152909686,0.24149161323096383,0.0807617495904245,0.1793937845869553,0.0001386190066342883,0.30555662351744856,0.5308246917745753,0.4385391290529034,0.44188036891111476,0.4704147299128645,1287.8
40,0.21088549456030461,0.23952538613840885,0.07840973694291459,0.17903180499726168,0.00012747367800788903,0.3108241163927041,0.5031438339627474,0.4586245891816555,0.5462063214697269,0.50265824820471,1244.8
41,0.2082558265545908,0.23713547045550445,0.07648292927727017,0.17690682774262814,0.00011645432906703719,0.3056791653151236,0.49417957829663883,0.4155287432511819,0.40942125468530455,0.4397098587443751,1266.3
42,0.21595634526385457,0.24601890188494685,0.07996933967993594,0.1817863053386205,0.00010562258448087257,0.289167443161927,0.44903001111516777,0.4554654766581647,0.4865168484288843,0.4636707787340722,1246.1
43,0.2100640656554527,0.239675317188424,0.07661550048408551,0.17806334116784725,9.503901975888441e-05,0.3111371160524493,0.48359532211277934,0.41853109384736775,0.43501310340045746,0.44571317312020153,1253.9
